interwencja;p.stresu;plec;mniejszosc;studia;partner;zamieszkanie;praca;alkohol;wiek
0;10;1;0;1;1;0;1;0;36
0;11;0;0;0;1;2;1;0;52
0;10;0;0;0;1;0;1;1;31
0;11;1;0;1;0;0;1;0;37
0;13;1;0;1;1;0;0;0;53
0;11;0;0;0;0;0;1;0;73
0;16;1;0;1;1;1;1;0;61
0;20;0;0;1;1;0;1;1;51
0;13;0;0;0;0;1;1;0;75
1;18;0;0;1;1;1;1;1;63
0;14;0;0;1;1;0;1;1;41
0;11;0;0;0;1;1;1;0;60
0;17;1;0;1;1;0;1;0;39
0;29;0;0;1;1;0;1;1;34
0;13;0;0;0;1;1;0;0;56
0;15;0;0;1;1;2;1;0;30
0;12;1;0;1;1;1;1;0;74
0;15;1;0;1;0;0;1;1;31
0;12;1;0;1;1;1;1;1;31
0;10;0;0;1;1;1;1;1;61
0;11;0;0;1;1;0;0;0;32
1;11;1;0;1;1;0;1;0;63
0;13;0;0;1;0;0;1;1;41
0;30;1;0;1;1;0;1;1;32
1;17;0;0;0;0;1;1;0;75
0;20;1;0;0;1;1;1;1;61
1;18;0;0;0;1;1;1;0;63
0;18;1;0;0;1;2;1;1;58
0;10;0;0;1;1;0;1;0;38
0;12;0;0;1;0;0;1;0;62
0;16;0;0;1;1;0;1;1;69
0;10;1;0;0;1;1;1;1;77
0;22;1;0;0;0;0;1;0;66
1;15;0;0;0;0;2;1;0;32
0;9;1;0;1;1;0;1;0;42
0;16;0;0;0;0;1;1;0;77
0;11;1;0;0;1;1;1;0;51
0;16;1;0;1;1;0;1;1;32
0;15;0;0;1;1;0;1;1;71
0;12;1;0;1;1;0;0;1;43
0;14;0;0;1;1;0;1;0;37
1;10;1;0;0;0;1;1;0;48
0;13;0;0;1;1;0;1;1;40
0;10;1;0;1;1;0;1;1;77
0;16;0;1;0;0;0;1;1;37
0;16;0;0;0;1;0;1;1;65
0;12;0;0;0;0;1;1;0;69
0;13;1;0;1;0;0;1;1;31
0;15;1;0;1;1;0;1;1;53
0;14;0;0;1;0;2;1;0;49
0;12;1;0;1;1;0;0;0;51
0;13;0;0;1;1;0;0;0;58
0;10;1;0;1;1;0;1;1;30
0;12;1;0;1;0;0;1;0;41
0;12;0;0;1;0;1;1;0;61
0;11;0;0;1;1;0;1;1;34
0;13;1;0;1;1;0;0;0;69
0;11;1;0;1;1;2;1;1;33
0;12;0;0;1;1;0;1;1;42
0;17;0;1;1;1;2;1;1;38
0;9;0;0;0;1;2;1;1;59
0;10;1;0;1;1;0;1;1;56
0;14;1;0;1;1;2;1;1;33
0;11;0;0;0;1;2;1;0;66
0;8;1;0;1;0;0;1;1;30
0;10;1;0;0;1;2;1;1;67
0;14;0;0;1;1;0;1;1;35
1;24;0;0;1;1;0;1;1;72
0;11;0;1;1;1;0;1;1;32
1;14;1;0;0;0;0;1;0;68
0;17;1;0;1;1;1;1;1;55
0;14;0;0;1;1;0;0;0;48
0;10;0;0;1;1;2;1;0;66
0;22;0;0;1;0;0;1;0;76
0;10;0;0;0;1;0;1;0;69
0;11;0;0;1;0;1;1;1;64
0;22;1;0;1;1;0;1;1;57
0;17;1;0;1;1;0;1;1;49
0;17;0;0;0;1;2;1;0;57
